 InterestPointId,CountryName,CountryCode,latitude,longitude,IndicatorName,IndicatorCode,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,Angola,AGO,-11.18,17.73,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,1222.566,5647.304,4621.641,3542.952,3950.793,4793.203,5214.821,7824.867,9646.901,3591.893
2,Brazil,BRA,-13.62,-51.92,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,52636.218,59915.256,69560.323,57674.545,85378.954,111000,79638.672,108000,116000,93971.664
3,China,CHN,39.93,116.41,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,26523.55,36907.377,38188.419,23648.117,38569.402,78620.945,80331.015,79892.814,137000,134000
4,Colombia,COL,5.29,-74.22,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,8944.332,8812.749,7095.929,13138.19,12971.146,16625.304,17597.709,20978.289,19119.682,19351.222
5,"Egypt, Arab Rep.",EGY,26.94,30.15,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,838.597,3188.181,1133.073,2130.584,3616.727,1510.311,3687.996,13144.743,1645.792,9039.842
6,Fiji,FJI,-17.82,177.98,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,162.786,12.624,13.38,15.247,32.567,315.437,78.321,59.797,70.527,25.997
7,Gabon,GAB,-0.47,12.01,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,87.155,1088.924,107.123,261.136,465.605,548.942,385.391,2111.66,598.291,779.504
8,Georgia,GEO,32.49,-82.88,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,175.462,192.567,892.923,1146.981,1190.038,1785.124,1624.845,1235.742,1298.923,2276.231
9,Haiti,HTI,19.1,-72.31,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,83.397,96.981,347.778,211.95,287.564,357.001,359.953,401.2,408.393,172.907
10,India,IND,23.25,80.14,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,32443.325,64525.981,38711.577,26645.958,43406.135,42849.558,49929.24,70313.553,130000,66347.154
11,Indonesia,IDN,1.62,114.36,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,18472.094,18271.701,22932.16,31424.529,34335.169,39429.552,55702.481,50566.628,69894.482,60090.454
12,"Iran, Islamic Rep.",IRN,33.5,53.49,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,1717.521,1140.23,786.942,400.182,251.897,215.709,17.704,21.807,0,1.726
13,Jordan,JOR,30.81,36.23,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,326.994,271.783,329.974,786.805,1537.857,474.753,1009.993,3643.995,2275.292,3209.682
14,Kenya,KEN,0.4,37.87,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,126.283,341.222,349.986,537.55,530.465,1073.212,1681.711,1234.677,5142.025,2748.499
15,Liberia,LBR,6.76,-9.44,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,0,0,0,0,0,20.337,23.107,35.08,138.499,165.585
16,Mali,MLI,18.71,-3.86,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,145.477,256.536,234.279,493.745,303.901,292.356,276.934,347.875,300.611,452.614
